DATE,mortgage_rate
01-08-2011,4.27
01-09-2011,4.106
01-10-2011,4.0675
01-11-2011,3.9925
01-12-2011,3.958
01-01-2012,3.915
01-02-2012,3.89
01-03-2012,3.954
01-04-2012,3.91
01-05-2012,3.798
01-06-2012,3.675
01-07-2012,3.55
01-08-2012,3.602
01-09-2012,3.4975
01-10-2012,3.3825
01-11-2012,3.352
01-12-2012,3.345
01-01-2013,3.414
01-02-2013,3.5325
01-03-2013,3.565
01-04-2013,3.445
01-05-2013,3.536
01-06-2013,4.07
01-07-2013,4.37
01-08-2013,4.456
01-09-2013,4.49
01-10-2013,4.192
01-11-2013,4.255
01-12-2013,4.4575
01-01-2014,4.432
01-02-2014,4.3025
01-03-2014,4.3425
01-04-2014,4.3375
01-05-2014,4.192
01-06-2014,4.1625
01-07-2014,4.13
01-08-2014,4.115
01-09-2014,4.1625
01-10-2014,4.036
01-11-2014,3.9975
01-12-2014,3.864
01-01-2015,3.67
01-02-2015,3.71
01-03-2015,3.77
01-04-2015,3.672
01-05-2015,3.84
01-06-2015,3.9825
01-07-2015,4.046
01-08-2015,3.905
01-09-2015,3.89
01-10-2015,3.796
01-11-2015,3.9425
01-12-2015,3.964
01-01-2016,3.8725
01-02-2016,3.66
01-03-2016,3.694
01-04-2016,3.605
01-05-2016,3.6
01-06-2016,3.568
01-07-2016,3.44
01-08-2016,3.435
01-09-2016,3.46
01-10-2016,3.47
01-11-2016,3.77
01-12-2016,4.198
01-01-2017,4.15
01-02-2017,4.1675
01-03-2017,4.196
01-04-2017,4.045
01-05-2017,4.01
01-06-2017,3.904
01-07-2017,3.9675
01-08-2017,3.88
01-09-2017,3.805
01-10-2017,3.895
01-11-2017,3.922
01-12-2017,3.95
01-01-2018,4.0325
01-02-2018,4.33
01-03-2018,4.444
01-04-2018,4.4675
01-05-2018,4.586
01-06-2018,4.57
01-07-2018,4.5275
01-08-2018,4.55
01-09-2018,4.6275
01-10-2018,4.83
01-11-2018,4.866
01-12-2018,4.6375
01-01-2019,4.464
01-02-2019,4.37
01-03-2019,4.265
01-04-2019,4.1425
01-05-2019,4.072
01-06-2019,3.8025
01-07-2019,3.765
01-08-2019,3.616
01-09-2019,3.605
01-10-2019,3.688
01-11-2019,3.695
01-12-2019,3.72
01-01-2020,3.624
01-02-2020,3.465
01-03-2020,3.45
01-04-2020,3.306
01-05-2020,3.2325
01-06-2020,3.1625
01-07-2020,3.016
01-08-2020,2.935
01-09-2020,2.89
01-10-2020,2.834
01-11-2020,2.765
01-12-2020,2.684
